
> chirpy@1.0.0 dev
> npx tsc && node dist/index.js

Server is running on port 8080
[NON-OK] GET /non-existent-path - Status: 404
[NON-OK] GET /non-existent-path - Status: 404
[NON-OK] GET /reset - Status: 404
[NON-OK] GET /metrics - Status: 404
[NON-OK] GET /metrics - Status: 404
[NON-OK] GET /reset - Status: 404
[NON-OK] GET /metrics - Status: 404
[NON-OK] GET /metrics - Status: 404
[NON-OK] GET /reset - Status: 404
[NON-OK] GET /metrics - Status: 404
[NON-OK] GET /metrics - Status: 404
[NON-OK] GET /reset - Status: 404
[NON-OK] GET /metrics - Status: 404
[NON-OK] GET /metrics - Status: 404
[NON-OK] GET /reset - Status: 404
[NON-OK] GET /metrics - Status: 404
[NON-OK] GET /metrics - Status: 404
[NON-OK] GET /reset - Status: 404
[NON-OK] GET /metrics - Status: 404
[NON-OK] GET /metrics - Status: 404
